 15:54:12 up 1 day,  2:42,  1 user,  load average: 0.00, 0.02, 0.00
 15:54:13 up 1 day,  2:42,  1 user,  load average: 0.00, 0.02, 0.00
 15:54:14 up 1 day,  2:42,  1 user,  load average: 0.00, 0.02, 0.00
 15:54:15 up 1 day,  2:42,  1 user,  load average: 0.16, 0.05, 0.01
 15:54:16 up 1 day,  2:42,  1 user,  load average: 0.16, 0.05, 0.01
 15:54:17 up 1 day,  2:42,  1 user,  load average: 0.16, 0.05, 0.01
 15:54:18 up 1 day,  2:43,  1 user,  load average: 0.16, 0.05, 0.01
 15:54:19 up 1 day,  2:43,  1 user,  load average: 0.16, 0.05, 0.01
 15:54:20 up 1 day,  2:43,  1 user,  load average: 0.15, 0.05, 0.01
 15:54:21 up 1 day,  2:43,  1 user,  load average: 0.15, 0.05, 0.01
 15:54:22 up 1 day,  2:43,  1 user,  load average: 0.15, 0.05, 0.01
 15:54:23 up 1 day,  2:43,  1 user,  load average: 0.15, 0.05, 0.01
 15:54:24 up 1 day,  2:43,  1 user,  load average: 0.15, 0.05, 0.01
 15:54:25 up 1 day,  2:43,  1 user,  load average: 0.30, 0.09, 0.02
 15:54:26 up 1 day,  2:43,  1 user,  load average: 0.30, 0.09, 0.02
 15:54:27 up 1 day,  2:43,  1 user,  load average: 0.30, 0.09, 0.02
 15:54:28 up 1 day,  2:43,  1 user,  load average: 0.30, 0.09, 0.02
 15:54:29 up 1 day,  2:43,  1 user,  load average: 0.30, 0.09, 0.02
 15:54:30 up 1 day,  2:43,  1 user,  load average: 0.27, 0.08, 0.02
 15:54:31 up 1 day,  2:43,  1 user,  load average: 0.27, 0.08, 0.02
 15:54:32 up 1 day,  2:43,  1 user,  load average: 0.27, 0.08, 0.02
 15:54:33 up 1 day,  2:43,  1 user,  load average: 0.27, 0.08, 0.02
 15:54:34 up 1 day,  2:43,  1 user,  load average: 0.27, 0.08, 0.02
 15:54:36 up 1 day,  2:43,  1 user,  load average: 0.81, 0.20, 0.06
 15:54:37 up 1 day,  2:43,  1 user,  load average: 0.81, 0.20, 0.06
 15:54:38 up 1 day,  2:43,  1 user,  load average: 0.81, 0.20, 0.06
 15:54:39 up 1 day,  2:43,  1 user,  load average: 0.81, 0.20, 0.06
 15:54:40 up 1 day,  2:43,  1 user,  load average: 0.81, 0.20, 0.06
 15:54:41 up 1 day,  2:43,  1 user,  load average: 1.23, 0.30, 0.09
 15:54:42 up 1 day,  2:43,  1 user,  load average: 1.23, 0.30, 0.09
 15:54:43 up 1 day,  2:43,  1 user,  load average: 1.23, 0.30, 0.09
 15:54:44 up 1 day,  2:43,  1 user,  load average: 1.23, 0.30, 0.09
 15:54:45 up 1 day,  2:43,  1 user,  load average: 1.23, 0.30, 0.09
 15:54:46 up 1 day,  2:43,  1 user,  load average: 1.21, 0.31, 0.10
 15:54:47 up 1 day,  2:43,  1 user,  load average: 1.21, 0.31, 0.10
 15:54:48 up 1 day,  2:43,  1 user,  load average: 1.21, 0.31, 0.10
 15:54:49 up 1 day,  2:43,  1 user,  load average: 1.21, 0.31, 0.10
 15:54:50 up 1 day,  2:43,  1 user,  load average: 1.21, 0.31, 0.10
 15:54:51 up 1 day,  2:43,  1 user,  load average: 1.27, 0.34, 0.11
 15:54:52 up 1 day,  2:43,  1 user,  load average: 1.27, 0.34, 0.11
 15:54:53 up 1 day,  2:43,  1 user,  load average: 1.27, 0.34, 0.11
 15:54:54 up 1 day,  2:43,  1 user,  load average: 1.27, 0.34, 0.11
 15:54:55 up 1 day,  2:43,  1 user,  load average: 1.27, 0.34, 0.11
 15:54:56 up 1 day,  2:43,  1 user,  load average: 1.17, 0.33, 0.10
 15:54:57 up 1 day,  2:43,  1 user,  load average: 1.17, 0.33, 0.10
 15:54:58 up 1 day,  2:43,  1 user,  load average: 1.17, 0.33, 0.10
 15:54:59 up 1 day,  2:43,  1 user,  load average: 1.17, 0.33, 0.10
 15:55:00 up 1 day,  2:43,  1 user,  load average: 1.17, 0.33, 0.10
 15:55:01 up 1 day,  2:43,  1 user,  load average: 1.16, 0.34, 0.11
