 16:33:35 up 1 day,  3:22,  1 user,  load average: 0.35, 1.19, 0.81
 16:33:36 up 1 day,  3:22,  1 user,  load average: 0.35, 1.19, 0.81
 16:33:37 up 1 day,  3:22,  1 user,  load average: 0.40, 1.18, 0.81
 16:33:38 up 1 day,  3:22,  1 user,  load average: 0.40, 1.18, 0.81
 16:33:39 up 1 day,  3:22,  1 user,  load average: 0.40, 1.18, 0.81
 16:33:40 up 1 day,  3:22,  1 user,  load average: 0.40, 1.18, 0.81
 16:33:41 up 1 day,  3:22,  1 user,  load average: 0.40, 1.18, 0.81
 16:33:42 up 1 day,  3:22,  1 user,  load average: 0.37, 1.16, 0.80
 16:33:43 up 1 day,  3:22,  1 user,  load average: 0.37, 1.16, 0.80
 16:33:44 up 1 day,  3:22,  1 user,  load average: 0.37, 1.16, 0.80
 16:33:45 up 1 day,  3:22,  1 user,  load average: 0.37, 1.16, 0.80
 16:33:46 up 1 day,  3:22,  1 user,  load average: 0.37, 1.16, 0.80
 16:33:47 up 1 day,  3:22,  1 user,  load average: 0.34, 1.14, 0.80
 16:33:48 up 1 day,  3:22,  1 user,  load average: 0.34, 1.14, 0.80
 16:33:49 up 1 day,  3:22,  1 user,  load average: 0.34, 1.14, 0.80
 16:33:50 up 1 day,  3:22,  1 user,  load average: 0.34, 1.14, 0.80
 16:33:51 up 1 day,  3:22,  1 user,  load average: 0.34, 1.14, 0.80
 16:33:52 up 1 day,  3:22,  1 user,  load average: 0.47, 1.16, 0.81
 16:33:53 up 1 day,  3:22,  1 user,  load average: 0.47, 1.16, 0.81
 16:33:54 up 1 day,  3:22,  1 user,  load average: 0.47, 1.16, 0.81
 16:33:55 up 1 day,  3:22,  1 user,  load average: 0.47, 1.16, 0.81
 16:33:56 up 1 day,  3:22,  1 user,  load average: 0.47, 1.16, 0.81
 16:33:57 up 1 day,  3:22,  1 user,  load average: 0.52, 1.16, 0.81
 16:33:58 up 1 day,  3:22,  1 user,  load average: 0.52, 1.16, 0.81
 16:33:59 up 1 day,  3:22,  1 user,  load average: 0.52, 1.16, 0.81
 16:34:00 up 1 day,  3:22,  1 user,  load average: 0.52, 1.16, 0.81
 16:34:01 up 1 day,  3:22,  1 user,  load average: 0.52, 1.16, 0.81
 16:34:02 up 1 day,  3:22,  1 user,  load average: 0.47, 1.14, 0.80
 16:34:03 up 1 day,  3:22,  1 user,  load average: 0.47, 1.14, 0.80
 16:34:04 up 1 day,  3:22,  1 user,  load average: 0.47, 1.14, 0.80
 16:34:05 up 1 day,  3:22,  1 user,  load average: 0.47, 1.14, 0.80
 16:34:06 up 1 day,  3:22,  1 user,  load average: 0.47, 1.14, 0.80
 16:34:07 up 1 day,  3:22,  1 user,  load average: 0.84, 1.20, 0.83
 16:34:08 up 1 day,  3:22,  1 user,  load average: 0.84, 1.20, 0.83
 16:34:09 up 1 day,  3:22,  1 user,  load average: 0.84, 1.20, 0.83
 16:34:10 up 1 day,  3:22,  1 user,  load average: 0.84, 1.20, 0.83
 16:34:11 up 1 day,  3:22,  1 user,  load average: 0.84, 1.20, 0.83
 16:34:12 up 1 day,  3:22,  1 user,  load average: 0.85, 1.20, 0.83
 16:34:13 up 1 day,  3:22,  1 user,  load average: 0.85, 1.20, 0.83
 16:34:14 up 1 day,  3:22,  1 user,  load average: 0.85, 1.20, 0.83
 16:34:15 up 1 day,  3:22,  1 user,  load average: 0.85, 1.20, 0.83
 16:34:16 up 1 day,  3:22,  1 user,  load average: 0.85, 1.20, 0.83
 16:34:17 up 1 day,  3:22,  1 user,  load average: 0.94, 1.21, 0.83
 16:34:18 up 1 day,  3:23,  1 user,  load average: 0.94, 1.21, 0.83
 16:34:19 up 1 day,  3:23,  1 user,  load average: 0.94, 1.21, 0.83
 16:34:20 up 1 day,  3:23,  1 user,  load average: 0.94, 1.21, 0.83
 16:34:21 up 1 day,  3:23,  1 user,  load average: 0.94, 1.21, 0.83
 16:34:22 up 1 day,  3:23,  1 user,  load average: 0.95, 1.21, 0.84
 16:34:23 up 1 day,  3:23,  1 user,  load average: 0.95, 1.21, 0.84
 16:34:24 up 1 day,  3:23,  1 user,  load average: 0.95, 1.21, 0.84
 16:34:25 up 1 day,  3:23,  1 user,  load average: 0.95, 1.21, 0.84
 16:34:26 up 1 day,  3:23,  1 user,  load average: 0.95, 1.21, 0.84
 16:34:27 up 1 day,  3:23,  1 user,  load average: 1.11, 1.24, 0.85
 16:34:28 up 1 day,  3:23,  1 user,  load average: 1.11, 1.24, 0.85
 16:34:29 up 1 day,  3:23,  1 user,  load average: 1.11, 1.24, 0.85
 16:34:30 up 1 day,  3:23,  1 user,  load average: 1.11, 1.24, 0.85
 16:34:31 up 1 day,  3:23,  1 user,  load average: 1.11, 1.24, 0.85
 16:34:32 up 1 day,  3:23,  1 user,  load average: 1.34, 1.28, 0.86
 16:34:33 up 1 day,  3:23,  1 user,  load average: 1.34, 1.28, 0.86
