 12:44:25 up 23:33,  1 user,  load average: 0.49, 0.34, 0.44
 12:44:26 up 23:33,  1 user,  load average: 0.45, 0.34, 0.44
 12:44:27 up 23:33,  1 user,  load average: 0.45, 0.34, 0.44
 12:44:28 up 23:33,  1 user,  load average: 0.45, 0.34, 0.44
 12:44:29 up 23:33,  1 user,  load average: 0.45, 0.34, 0.44
 12:44:30 up 23:33,  1 user,  load average: 0.45, 0.34, 0.44
 12:44:31 up 23:33,  1 user,  load average: 0.42, 0.33, 0.44
 12:44:32 up 23:33,  1 user,  load average: 0.42, 0.33, 0.44
 12:44:33 up 23:33,  1 user,  load average: 0.42, 0.33, 0.44
 12:44:34 up 23:33,  1 user,  load average: 0.42, 0.33, 0.44
 12:44:35 up 23:33,  1 user,  load average: 0.42, 0.33, 0.44
 12:44:36 up 23:33,  1 user,  load average: 0.38, 0.32, 0.44
 12:44:37 up 23:33,  1 user,  load average: 0.38, 0.32, 0.44
 12:44:38 up 23:33,  1 user,  load average: 0.38, 0.32, 0.44
 12:44:39 up 23:33,  1 user,  load average: 0.38, 0.32, 0.44
 12:44:40 up 23:33,  1 user,  load average: 0.38, 0.32, 0.44
 12:44:41 up 23:33,  1 user,  load average: 0.67, 0.39, 0.45
 12:44:42 up 23:33,  1 user,  load average: 0.67, 0.39, 0.45
 12:44:43 up 23:33,  1 user,  load average: 0.67, 0.39, 0.45
 12:44:44 up 23:33,  1 user,  load average: 0.67, 0.39, 0.45
 12:44:45 up 23:33,  1 user,  load average: 0.67, 0.39, 0.45
 12:44:46 up 23:33,  1 user,  load average: 0.70, 0.40, 0.46
 12:44:47 up 23:33,  1 user,  load average: 0.70, 0.40, 0.46
 12:44:48 up 23:33,  1 user,  load average: 0.70, 0.40, 0.46
 12:44:49 up 23:33,  1 user,  load average: 0.70, 0.40, 0.46
 12:44:50 up 23:33,  1 user,  load average: 0.70, 0.40, 0.46
 12:44:51 up 23:33,  1 user,  load average: 1.20, 0.51, 0.49
 12:44:52 up 23:33,  1 user,  load average: 1.20, 0.51, 0.49
 12:44:53 up 23:33,  1 user,  load average: 1.20, 0.51, 0.49
 12:44:54 up 23:33,  1 user,  load average: 1.20, 0.51, 0.49
 12:44:55 up 23:33,  1 user,  load average: 1.20, 0.51, 0.49
 12:44:56 up 23:33,  1 user,  load average: 1.19, 0.51, 0.50
 12:44:57 up 23:33,  1 user,  load average: 1.19, 0.51, 0.50
 12:44:58 up 23:33,  1 user,  load average: 1.19, 0.51, 0.50
 12:44:59 up 23:33,  1 user,  load average: 1.19, 0.51, 0.50
 12:45:00 up 23:33,  1 user,  load average: 1.19, 0.51, 0.50
 12:45:01 up 23:33,  1 user,  load average: 1.25, 0.54, 0.50
 12:45:02 up 23:33,  1 user,  load average: 1.25, 0.54, 0.50
 12:45:03 up 23:33,  1 user,  load average: 1.25, 0.54, 0.50
 12:45:04 up 23:33,  1 user,  load average: 1.25, 0.54, 0.50
 12:45:05 up 23:33,  1 user,  load average: 1.25, 0.54, 0.50
 12:45:06 up 23:33,  1 user,  load average: 1.23, 0.55, 0.51
 12:45:07 up 23:33,  1 user,  load average: 1.23, 0.55, 0.51
 12:45:08 up 23:33,  1 user,  load average: 1.23, 0.55, 0.51
 12:45:09 up 23:33,  1 user,  load average: 1.23, 0.55, 0.51
 12:45:10 up 23:33,  1 user,  load average: 1.23, 0.55, 0.51
 12:45:11 up 23:33,  1 user,  load average: 1.29, 0.57, 0.52
 12:45:12 up 23:33,  1 user,  load average: 1.29, 0.57, 0.52
 12:45:13 up 23:33,  1 user,  load average: 1.29, 0.57, 0.52
 12:45:14 up 23:33,  1 user,  load average: 1.29, 0.57, 0.52
 12:45:15 up 23:33,  1 user,  load average: 1.29, 0.57, 0.52
 12:45:16 up 23:33,  1 user,  load average: 1.19, 0.56, 0.51
 12:45:17 up 23:33,  1 user,  load average: 1.19, 0.56, 0.51
 12:45:18 up 23:33,  1 user,  load average: 1.19, 0.56, 0.51
 12:45:19 up 23:34,  1 user,  load average: 1.19, 0.56, 0.51
 12:45:20 up 23:34,  1 user,  load average: 1.19, 0.56, 0.51
 12:45:21 up 23:34,  1 user,  load average: 1.42, 0.62, 0.53
 12:45:22 up 23:34,  1 user,  load average: 1.42, 0.62, 0.53
 12:45:23 up 23:34,  1 user,  load average: 1.42, 0.62, 0.53
 12:45:24 up 23:34,  1 user,  load average: 1.42, 0.62, 0.53
 12:45:25 up 23:34,  1 user,  load average: 1.42, 0.62, 0.53
 12:45:26 up 23:34,  1 user,  load average: 1.38, 0.62, 0.53
 12:45:27 up 23:34,  1 user,  load average: 1.38, 0.62, 0.53
 12:45:28 up 23:34,  1 user,  load average: 1.38, 0.62, 0.53
 12:45:29 up 23:34,  1 user,  load average: 1.38, 0.62, 0.53
 12:45:30 up 23:34,  1 user,  load average: 1.38, 0.62, 0.53
 12:45:31 up 23:34,  1 user,  load average: 1.35, 0.63, 0.54
 12:45:32 up 23:34,  1 user,  load average: 1.35, 0.63, 0.54
 12:45:33 up 23:34,  1 user,  load average: 1.35, 0.63, 0.54
 12:45:34 up 23:34,  1 user,  load average: 1.35, 0.63, 0.54
 12:45:35 up 23:34,  1 user,  load average: 1.35, 0.63, 0.54
 12:45:36 up 23:34,  1 user,  load average: 1.40, 0.65, 0.55
 12:45:37 up 23:34,  1 user,  load average: 1.40, 0.65, 0.55
 12:45:38 up 23:34,  1 user,  load average: 1.40, 0.65, 0.55
 12:45:39 up 23:34,  1 user,  load average: 1.40, 0.65, 0.55
 12:45:40 up 23:34,  1 user,  load average: 1.40, 0.65, 0.55
 12:45:41 up 23:34,  1 user,  load average: 1.61, 0.71, 0.56
 12:45:42 up 23:34,  1 user,  load average: 1.61, 0.71, 0.56
 12:45:43 up 23:34,  1 user,  load average: 1.61, 0.71, 0.56
 12:45:44 up 23:34,  1 user,  load average: 1.61, 0.71, 0.56
 12:45:45 up 23:34,  1 user,  load average: 1.61, 0.71, 0.56
 12:45:46 up 23:34,  1 user,  load average: 1.72, 0.75, 0.58
 12:45:47 up 23:34,  1 user,  load average: 1.72, 0.75, 0.58
 12:45:48 up 23:34,  1 user,  load average: 1.72, 0.75, 0.58
 12:45:49 up 23:34,  1 user,  load average: 1.72, 0.75, 0.58
 12:45:50 up 23:34,  1 user,  load average: 1.72, 0.75, 0.58
 12:45:51 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:52 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:53 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:54 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:55 up 23:34,  1 user,  load average: 1.83, 0.79, 0.59
 12:45:56 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:57 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:58 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:45:59 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:46:00 up 23:34,  1 user,  load average: 2.24, 0.89, 0.63
 12:46:01 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:02 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:03 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:04 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:05 up 23:34,  1 user,  load average: 2.38, 0.94, 0.64
 12:46:06 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:07 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:08 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:09 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:10 up 23:34,  1 user,  load average: 2.67, 1.02, 0.67
 12:46:11 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:12 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:13 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:14 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:15 up 23:34,  1 user,  load average: 2.94, 1.11, 0.70
 12:46:16 up 23:34,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:17 up 23:34,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:18 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:20 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:21 up 23:35,  1 user,  load average: 3.10, 1.17, 0.72
 12:46:22 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:23 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:24 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:25 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:26 up 23:35,  1 user,  load average: 3.50, 1.29, 0.76
 12:46:27 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:28 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:29 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:30 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:31 up 23:35,  1 user,  load average: 3.70, 1.37, 0.79
 12:46:32 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:33 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:34 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:35 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:36 up 23:35,  1 user,  load average: 3.40, 1.34, 0.79
 12:46:37 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:38 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:39 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:40 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:41 up 23:35,  1 user,  load average: 3.53, 1.40, 0.81
 12:46:42 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:43 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:44 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:45 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:46 up 23:35,  1 user,  load average: 3.49, 1.43, 0.82
 12:46:47 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:48 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:49 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:50 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:51 up 23:35,  1 user,  load average: 3.45, 1.46, 0.84
 12:46:52 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:53 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:54 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
 12:46:55 up 23:35,  1 user,  load average: 3.73, 1.55, 0.87
